"year","team","opponent","point_diff"
2002,"Siena","Alcorn St.",4
2002,"Maryland","Siena",15
2002,"Wisconsin","St. John's",10
2002,"Marquette","Tulsa",-2
2002,"Kentucky","Valparaiso",15
2002,"Texas Tech","Southern Illinois",-8
2002,"Georgia","Murray St.",17
2002,"North Carolina St.","Michigan St.",11
2002,"Connecticut","Hampton",11
2002,"Maryland","Wisconsin",30
2002,"Tulsa","Kentucky",-5
2002,"Southern Illinois","Georgia",2
2002,"North Carolina St.","Connecticut",-3
2002,"Maryland","Kentucky",10
2002,"Southern Illinois","Connecticut",-12
2002,"Maryland","Connecticut",8
2002,"Kansas","Holy Cross",11
2002,"Stanford","Western Kentucky",16
2002,"Florida","Creighton",-1
2002,"Illinois","San Diego St.",29
2002,"Texas","Boston College",13
2002,"Mississippi St.","McNeese St.",12
2002,"Wake Forest","Pepperdine",9
2002,"Oregon","Montana",19
2002,"Kansas","Stanford",23
2002,"Creighton","Illinois",-12
2002,"Texas","Mississippi St.",4
2002,"Wake Forest","Oregon",-5
2002,"Kansas","Illinois",4
2002,"Texas","Oregon",-2
2002,"Kansas","Oregon",18
2002,"Duke","Winthrop",47
2002,"Notre Dame","Charlotte",19
2002,"Indiana","Utah",19
2002,"USC","UNC Wilmington",-4
2002,"California","Penn",7
2002,"Pittsburgh","Central Connecticut",17
2002,"Oklahoma St.","Kent St.",-8
2002,"Alabama","Florida Atlantic",8
2002,"Duke","Notre Dame",7
2002,"Indiana","UNC Wilmington",9
2002,"California","Pittsburgh",-13
2002,"Kent St.","Alabama",13
2002,"Duke","Indiana",-1
2002,"Pittsburgh","Kent St.",-5
2002,"Indiana","Kent St.",12
2002,"Cincinnati","Boston University",38
2002,"UCLA","Mississippi",22
2002,"Miami FL","Missouri",-13
2002,"Ohio St.","Davidson",5
2002,"Gonzaga","Wyoming",-7
2002,"Arizona","UC Santa Barbara",5
2002,"Xavier","Hawaii",12
2002,"Oklahoma","Illinois Chicago",8
2002,"Cincinnati","UCLA",-4
2002,"Missouri","Ohio St.",16
2002,"Wyoming","Arizona",-8
2002,"Xavier","Oklahoma",-13
2002,"UCLA","Missouri",-9
2002,"Arizona","Oklahoma",-21
2002,"Missouri","Oklahoma",-6
2002,"Maryland","Kansas",9
2002,"Oklahoma","Indiana",-9
2002,"Maryland","Indiana",12
2003,"Texas Southern","UNC Asheville",-8
2003,"Texas","UNC Asheville",21
2003,"LSU","Purdue",-24
2003,"Connecticut","BYU",5
2003,"Stanford","San Diego",8
2003,"Maryland","UNC Wilmington",2
2003,"Xavier","Troy",12
2003,"Michigan St.","Colorado",15
2003,"Florida","Sam Houston St.",30
2003,"Texas","Purdue",10
2003,"Connecticut","Stanford",11
2003,"Maryland","Xavier",13
2003,"Michigan St.","Florida",22
2003,"Texas","Connecticut",4
