"year","team","adj_eff_margin","adj_off_eff","adj_def_eff","pos_per_40","luck","sos","opp_adj_off_eff","opp_adj_def_eff"
"2002","Duke","34.19","121.0","86.8","74.5","-.027","9.87","109.1","99.2"
"2002","Cincinnati","30.19","118.1","87.9","67.4",".002","6.58","106.3","99.7"
"2002","Maryland","29.25","119.2","89.9","73.7",".025","9.88","109.1","99.3"
"2002","Kansas","28.99","118.7","89.7","77.3",".022","10.66","110.3","99.6"
"2002","Oklahoma","26.04","114.9","88.9","66.5",".043","8.77","109.0","100.2"
"2002","Indiana","24.80","114.0","89.2","65.6","-.049","14.11","110.8","96.7"
"2002","Florida","24.72","115.1","90.4","69.6","-.073","9.11","108.1","99.0"
"2002","Illinois","23.21","115.7","92.5","68.5",".016","10.60","109.7","99.1"
"2002","Oregon","22.97","119.2","96.3","71.1","-.041","8.15","108.1","99.9"
"2002","Kentucky","22.21","113.4","91.2","68.0","-.029","12.97","110.1","97.1"
"2002","Marquette","21.47","113.4","91.9","64.6",".006","5.41","105.5","100.1"
"2002","USC","20.67","112.8","92.1","70.1","-.051","9.30","109.2","99.9"
"2002","Arizona","20.54","119.3","98.8","71.1",".079","14.22","111.3","97.1"
"2002","Kent St.","20.39","116.7","96.4","64.7",".008","3.11","106.0","102.9"
"2002","Stanford","20.32","116.6","96.3","69.5","-.020","10.33","110.2","99.8"
"2002","Pittsburgh","19.94","112.1","92.2","63.8",".000","3.12","103.7","100.6"
"2002","Ohio St.","19.76","116.4","96.6","66.8",".005","7.51","106.6","99.1"
"2002","Connecticut","19.36","112.2","92.8","68.7",".063","8.18","107.3","99.1"
"2002","Notre Dame","19.27","116.1","96.8","68.6","-.087","7.33","105.4","98.1"
"2002","South Carolina","19.18","107.0","87.9","65.3","-.074","10.28","108.5","98.2"
"2002","N.C. State","19.15","113.2","94.0","67.5",".012","8.27","108.6","100.4"
"2002","Alabama","18.73","114.0","95.3","68.0",".076","8.59","107.1","98.5"
"2002","Xavier","18.60","111.2","92.6","67.0",".051","5.09","106.7","101.6"
"2002","Gonzaga","18.51","115.6","97.1","68.5",".049","1.12","103.7","102.6"
"2002","Georgia","18.44","116.7","98.3","69.2","-.021","9.87","108.1","98.2"
"2002","Mississippi St.","18.25","111.4","93.1","67.9",".107","8.93","106.7","97.7"
"2002","Texas","17.69","116.0","98.3","68.5","-.021","10.18","109.1","98.9"
"2002","Butler","17.63","111.9","94.3","62.1","-.051","-1.43","103.0","104.5"
"2002","Missouri","17.49","116.2","98.7","70.1","-.010","7.92","108.0","100.0"
"2002","Wake Forest","17.35","118.6","101.3","69.5",".006","11.24","109.1","97.9"
"2002","Texas Tech","17.24","114.6","97.4","69.8",".061","6.69","106.8","100.2"
"2002","Michigan St.","16.86","113.0","96.2","63.3","-.026","9.76","108.5","98.7"
"2002","Memphis","16.69","112.5","95.8","70.8","-.008","3.63","104.9","101.3"
"2002","Mississippi","16.68","113.3","96.7","64.7","-.040","7.32","105.9","98.6"
"2002","UCLA","16.34","113.7","97.3","68.1",".048","12.00","110.1","98.1"
"2002","Georgetown","16.13","110.6","94.5","71.1","-.094","5.32","105.0","99.7"
"2002","California","16.03","109.8","93.7","66.6",".088","7.89","107.9","100.0"
"2002","Oklahoma St.","15.80","107.9","92.1","66.0",".047","7.11","107.8","100.7"
"2002","Miami FL","15.77","110.5","94.7","69.1",".017","5.75","105.0","99.3"
"2002","Charlotte","15.73","114.2","98.5","66.8","-.008","9.23","107.3","98.1"
"2002","Tulsa","15.59","116.0","100.4","69.5",".001","2.03","103.7","101.7"
"2002","Dayton","15.53","112.9","97.4","66.6","-.042","2.83","104.5","101.7"
"2002","Minnesota","14.54","113.5","99.0","68.9","-.045","7.29","107.4","100.1"
"2002","Western Kentucky","14.51","110.5","96.0","67.5",".060","0.23","103.1","102.8"
"2002","Utah","14.08","111.4","97.3","62.1",".010","5.38","106.2","100.8"
"2002","Iowa","13.66","110.4","96.8","69.0","-.060","8.62","108.3","99.7"
"2002","Valparaiso","13.63","111.5","97.8","68.7","-.032","-1.66","102.9","104.6"
"2002","Temple","13.57","114.0","100.4","62.2","-.038","8.04","107.5","99.5"
"2002","Southern Illinois","13.45","109.2","95.7","70.6",".034","2.11","105.2","103.1"
"2002","Wisconsin","13.22","110.7","97.5","63.3",".049","10.57","108.9","98.3"
"2002","Hawaii","13.15","110.3","97.2","65.6",".007","-0.72","102.8","103.5"
"2002","Villanova","13.14","106.7","93.5","67.3","-.055","6.67","106.5","99.8"
"2002","Virginia","12.92","112.0","99.1","69.4","-.017","7.99","107.9","99.9"
"2002","Tennessee","12.67","110.9","98.2","66.7","-.044","12.03","108.6","96.6"
"2002","Ball St.","12.66","113.3","100.6","69.1",".012","3.72","105.8","102.1"
"2002","Syracuse","12.61","106.1","93.5","69.4","-.005","6.13","105.6","99.5"
"2002","Arkansas","12.56","108.8","96.2","71.9","-.062","11.25","108.3","97.1"
"2002","Penn","12.23","110.2","98.0","65.6","-.019","-2.38","101.9","104.3"
"2002","Creighton","11.82","111.3","99.5","66.9",".029","1.39","104.8","103.4"
